"av im","av re","current density im:0","current density im:1","current density im:2","current density re:0","current density re:1","current density re:2","electric field im:0","electric field im:1","electric field im:2","electric field re:0","electric field re:1","electric field re:2","joule heating","magnetic field strength im:0","magnetic field strength im:1","magnetic field strength im:2","magnetic field strength re:0","magnetic field strength re:1","magnetic field strength re:2","magnetic flux density im:0","magnetic flux density im:1","magnetic flux density im:2","magnetic flux density re:0","magnetic flux density re:1","magnetic flux density re:2","surface current im:0","surface current im:1","surface current im:2","surface current re:0","surface current re:1","surface current re:2","w","current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","w potential","w vector e:0","w vector e:1","w vector e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.6114e-05,-4.3177e-05,4.681,7.6116e-05,-0.33897,1.83,17259,0.0026433,1.4352e-08,-1.4574e-05,-0.00063422,9.5056e-09,-1.0464e-05,3.3217e-09,1.8035e-14,-1.8314e-11,-7.9699e-10,1.1945e-14,-1.3149e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,5e-05,0,5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.6952e-05,-4.3216e-05,4.681,7.6954e-05,-0.37287,1.8277,16980,0.0029077,1.4317e-08,-1.6032e-05,-0.00069765,9.4925e-09,-1.1509e-05,3.6539e-09,1.7991e-14,-2.0146e-11,-8.7669e-10,1.1929e-14,-1.4463e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,5.5e-05,0,5.5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.7791e-05,-4.3254e-05,4.681,7.7792e-05,-0.40677,1.8254,16700,0.003172,1.4283e-08,-1.749e-05,-0.00076107,9.4794e-09,-1.2555e-05,3.9861e-09,1.7948e-14,-2.1978e-11,-9.5639e-10,1.1912e-14,-1.5777e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,6e-05,0,6e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.8629e-05,-4.3293e-05,4.681,7.8631e-05,-0.44067,1.8231,16421,0.0034363,1.4248e-08,-1.8947e-05,-0.00082449,9.4663e-09,-1.3601e-05,4.3182e-09,1.7905e-14,-2.381e-11,-1.0361e-09,1.1896e-14,-1.7091e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,6.5e-05,0,6.5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-7.9467e-05,-4.3332e-05,4.681,7.9469e-05,-0.47457,1.8208,16141,0.0037007,1.4214e-08,-2.0405e-05,-0.00088791,9.4532e-09,-1.4647e-05,4.6504e-09,1.7861e-14,-2.5642e-11,-1.1158e-09,1.1879e-14,-1.8406e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,7e-05,0,7e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.0306e-05,-4.3371e-05,4.681,8.0308e-05,-0.50847,1.8185,15862,0.003965,1.4179e-08,-2.1863e-05,-0.00095134,9.4401e-09,-1.5692e-05,4.9826e-09,1.7818e-14,-2.7474e-11,-1.1955e-09,1.1863e-14,-1.972e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.3064e-05,-3.79e-05,4.681,0.4059,-0.40579,-0.97674,0,-0.00060076,-0.00060074,-5.3953e-05,-0.00053138,-0.00053137,9.2021e-05,-7.5493e-10,-7.5492e-10,-6.7799e-11,-6.6775e-10,-6.6774e-10,1.1564e-10,0,0,0,0,1,7.5e-05,0,7.5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.1144e-05,-4.341e-05,4.681,8.1146e-05,-0.54237,1.8162,15583,0.0042293,1.4145e-08,-2.3321e-05,-0.0010148,9.427e-09,-1.6738e-05,5.3147e-09,1.7775e-14,-2.9306e-11,-1.2752e-09,1.1846e-14,-2.1034e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.3064e-05,-3.79e-05,4.681,0.4059,-0.40579,-0.97674,0,-0.00060076,-0.00060074,-5.3953e-05,-0.00053138,-0.00053137,9.2021e-05,-7.5493e-10,-7.5492e-10,-6.7799e-11,-6.6775e-10,-6.6774e-10,1.1564e-10,0,0,0,0,1,8e-05,0,8e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.1982e-05,-4.3449e-05,4.681,8.1984e-05,-0.57628,1.8139,15303,0.0044937,1.411e-08,-2.4779e-05,-0.0010782,9.4139e-09,-1.7784e-05,5.6469e-09,1.7731e-14,-3.1138e-11,-1.3549e-09,1.183e-14,-2.2348e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.3064e-05,-3.79e-05,4.681,0.4059,-0.40579,-0.97674,0,-0.00060076,-0.00060074,-5.3953e-05,-0.00053138,-0.00053137,9.2021e-05,-7.5493e-10,-7.5492e-10,-6.7799e-11,-6.6775e-10,-6.6774e-10,1.1564e-10,0,0,0,0,1,8.5e-05,0,8.5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.2821e-05,-4.3487e-05,4.681,8.2823e-05,-0.61018,1.8116,15024,0.004758,1.4076e-08,-2.6236e-05,-0.0011416,9.4008e-09,-1.883e-05,5.9791e-09,1.7688e-14,-3.297e-11,-1.4346e-09,1.1813e-14,-2.3662e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.3064e-05,-3.79e-05,4.681,0.4059,-0.40579,-0.97674,0,-0.00060076,-0.00060074,-5.3953e-05,-0.00053138,-0.00053137,9.2021e-05,-7.5493e-10,-7.5492e-10,-6.7799e-11,-6.6775e-10,-6.6774e-10,1.1564e-10,0,0,0,0,1,9e-05,0,9e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.3659e-05,-4.3526e-05,4.681,8.3661e-05,-0.64408,1.8093,14744,0.0050223,1.4041e-08,-2.7694e-05,-0.001205,9.3877e-09,-1.9876e-05,6.3113e-09,1.7645e-14,-3.4802e-11,-1.5143e-09,1.1797e-14,-2.4976e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.3064e-05,-3.79e-05,4.681,0.4059,-0.40579,-0.97674,0,-0.00060076,-0.00060074,-5.3953e-05,-0.00053138,-0.00053137,9.2021e-05,-7.5493e-10,-7.5492e-10,-6.7799e-11,-6.6775e-10,-6.6774e-10,1.1564e-10,0,0,0,0,1,9.5e-05,0,9.5e-05,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.4497e-05,-4.3565e-05,4.681,8.45e-05,-0.67798,1.807,14465,0.0052867,1.4007e-08,-2.9152e-05,-0.0012684,9.3747e-09,-2.0921e-05,6.6434e-09,1.7601e-14,-3.6634e-11,-1.594e-09,1.1781e-14,-2.6291e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.3064e-05,-3.79e-05,4.681,0.4059,-0.40579,-0.97674,0,-0.00060076,-0.00060074,-5.3953e-05,-0.00053138,-0.00053137,9.2021e-05,-7.5493e-10,-7.5492e-10,-6.7799e-11,-6.6775e-10,-6.6774e-10,1.1564e-10,0,0,0,0,1,0.0001,0,0.0001,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.5336e-05,-4.3604e-05,4.681,8.5338e-05,-0.71188,1.8047,14185,0.005551,1.3972e-08,-3.061e-05,-0.0013319,9.3616e-09,-2.1967e-05,6.9756e-09,1.7558e-14,-3.8466e-11,-1.6737e-09,1.1764e-14,-2.7605e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.3064e-05,-3.79e-05,4.681,0.4059,-0.40579,-0.97674,0,-0.00060076,-0.00060074,-5.3953e-05,-0.00053138,-0.00053137,9.2021e-05,-7.5493e-10,-7.5492e-10,-6.7799e-11,-6.6775e-10,-6.6774e-10,1.1564e-10,0,0,0,0,1,0.000105,0,0.000105,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.6174e-05,-4.3643e-05,4.681,8.6176e-05,-0.74578,1.8024,13906,0.0058153,1.3938e-08,-3.2068e-05,-0.0013953,9.3485e-09,-2.3013e-05,7.3078e-09,1.7515e-14,-4.0298e-11,-1.7534e-09,1.1748e-14,-2.8919e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.3064e-05,-3.79e-05,4.681,0.4059,-0.40579,-0.97674,0,-0.00060076,-0.00060074,-5.3953e-05,-0.00053138,-0.00053137,9.2021e-05,-7.5493e-10,-7.5492e-10,-6.7799e-11,-6.6775e-10,-6.6774e-10,1.1564e-10,0,0,0,0,1,0.00011,0,0.00011,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.7012e-05,-4.3682e-05,4.681,8.7015e-05,-0.77968,1.8002,13626,0.0060797,1.3903e-08,-3.3526e-05,-0.0014587,9.3354e-09,-2.4059e-05,7.64e-09,1.7471e-14,-4.2129e-11,-1.8331e-09,1.1731e-14,-3.0233e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,0.000115,0,0.000115,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.7851e-05,-4.372e-05,4.681,8.7853e-05,-0.81358,1.7979,13347,0.006344,1.3869e-08,-3.4983e-05,-0.0015221,9.3223e-09,-2.5104e-05,7.9721e-09,1.7428e-14,-4.3961e-11,-1.9128e-09,1.1715e-14,-3.1547e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,0.00012,0,0.00012,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.8689e-05,-4.3759e-05,4.681,8.8692e-05,-0.84748,1.7956,13067,0.0066083,1.3834e-08,-3.6441e-05,-0.0015856,9.3092e-09,-2.615e-05,8.3043e-09,1.7384e-14,-4.5793e-11,-1.9925e-09,1.1698e-14,-3.2861e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.0658e-05,-5.5575e-05,4.681,-0.40575,-0.40577,-0.97674,0,-0.00060073,0.00060076,4.2884e-05,-0.00053137,0.00053138,-9.1941e-05,-7.549e-10,7.5494e-10,5.389e-11,-6.6774e-10,6.6776e-10,-1.1554e-10,0,0,0,0,1,0.000125,0,0.000125,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.7737e-05,-4.3535e-05,4.681,8.7739e-05,-0.88419,1.789,12821,0.0044496,1.3769e-08,-3.2977e-05,-0.0015319,9.2913e-09,-2.3734e-05,5.5916e-09,1.7303e-14,-4.144e-11,-1.9251e-09,1.1676e-14,-2.9825e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.8359e-05,-3.9523e-05,4.681,-0.60531,-0.81788,-1.0496,0,-0.0022343,0.00055313,-5.9588e-05,-0.0019854,0.00048394,0.00013841,-2.8077e-09,6.9508e-10,-7.488e-11,-2.4949e-09,6.0813e-10,1.7393e-10,0,0,0,0,1,0.00013,0,0.00013,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.6785e-05,-4.3311e-05,4.681,8.6787e-05,-0.92089,1.7825,12574,0.0022909,1.3705e-08,-2.9513e-05,-0.0014783,9.2734e-09,-2.1318e-05,2.8789e-09,1.7222e-14,-3.7087e-11,-1.8577e-09,1.1653e-14,-2.6788e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.0333e-05,-4.663e-05,4.681,0.60547,-0.81787,-1.0496,0,-0.0022343,-0.00055308,4.7969e-05,-0.0019854,-0.00048391,-0.00015423,-2.8077e-09,-6.9502e-10,6.028e-11,-2.4949e-09,-6.081e-10,-1.9381e-10,0,0,0,0,1,0.000135,0,0.000135,0.005
2.4652e-29,2.4652e-29,0,0,0,0,0,0,-8.5832e-05,-4.3086e-05,4.681,8.5835e-05,-0.95759,1.776,12328,0.00013224,1.364e-08,-2.6048e-05,-0.0014247,9.2555e-09,-1.8901e-05,1.6617e-10,1.714e-14,-3.2733e-11,-1.7903e-09,1.1631e-14,-2.3752e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.0333e-05,-4.663e-05,4.681,0.60547,-0.81787,-1.0496,0,-0.0022343,-0.00055308,4.7969e-05,-0.0019854,-0.00048391,-0.00015423,-2.8077e-09,-6.9502e-10,6.028e-11,-2.4949e-09,-6.081e-10,-1.9381e-10,0,0,0,0,1,0.00014,0,0.00014,0.005
