"av im","av re","current density im:0","current density im:1","current density im:2","current density re:0","current density re:1","current density re:2","electric field im:0","electric field im:1","electric field im:2","electric field re:0","electric field re:1","electric field re:2","joule heating","magnetic field strength im:0","magnetic field strength im:1","magnetic field strength im:2","magnetic field strength re:0","magnetic field strength re:1","magnetic field strength re:2","magnetic flux density im:0","magnetic flux density im:1","magnetic flux density im:2","magnetic flux density re:0","magnetic flux density re:1","magnetic flux density re:2","w","current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","w potential","w vector e:0","w vector e:1","w vector e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.8201e-50,8.8201e-50,-41.124,-116.18,8.3492e+05,-90.358,-82.805,-7.5604e+06,-7.0905e-07,-2.0031e-06,0.014395,-1.5579e-06,-1.4277e-06,-0.13035,4.9842e+05,-20.004,-1.0019e-06,-0.00051529,189.51,-8.7133e-07,-0.0013464,-2.5138e-05,-1.259e-12,-6.4753e-10,0.00023815,-1.0949e-12,-1.692e-09,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,5e-05,0,5e-05,0.005
8.8201e-50,8.8201e-50,-65.012,-154.72,7.9081e+05,-135.62,-123.71,-7.5657e+06,-1.1209e-06,-2.6676e-06,0.013635,-2.3383e-06,-2.1329e-06,-0.13044,4.9826e+05,-22.005,-7.5585e-07,-0.00056724,208.46,-9.2547e-07,-0.0014809,-2.7652e-05,-9.4982e-13,-7.1281e-10,0.00026196,-1.163e-12,-1.861e-09,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,5.5e-05,0,5.5e-05,0.005
8.8201e-50,8.8201e-50,-88.9,-193.26,7.467e+05,-180.89,-164.61,-7.5711e+06,-1.5328e-06,-3.3322e-06,0.012874,-3.1188e-06,-2.8381e-06,-0.13054,4.981e+05,-24.005,-5.0981e-07,-0.00061919,227.41,-9.796e-07,-0.0016154,-3.0166e-05,-6.4064e-13,-7.7809e-10,0.00028578,-1.231e-12,-2.03e-09,0.5,-58.327,-25.892,8.3053e+05,-79.276,-90.903,-7.5625e+06,-1.0056e-06,-4.4641e-07,0.01432,-1.3668e-06,-1.5673e-06,-0.13039,4.9916e+05,-12.253,12.253,0.00011134,92.99,-92.99,-0.00017256,-1.5398e-05,1.5398e-05,1.3992e-10,0.00011685,-0.00011685,-2.1685e-10,0.475,-1.4141e-06,-1.6488e-06,100,1,6e-05,0,6e-05,0.005
8.8201e-50,8.8201e-50,-101.35,-203.18,6.595e+05,-195.54,-180.09,-7.5773e+06,-1.7474e-06,-3.503e-06,0.011371,-3.3714e-06,-3.105e-06,-0.13064,4.9834e+05,-24.025,-3.4636e-07,-0.00065783,246.72,-1.0232e-06,-0.0016649,-3.0191e-05,-4.3525e-13,-8.2665e-10,0.00031004,-1.2858e-12,-2.0921e-09,0.5,-17.593,-96.798,-1.1967e+05,-24.6,-23.839,-7.6262e+06,-3.0334e-07,-1.6689e-06,-0.0020633,-4.2414e-07,-4.1101e-07,-0.13149,5.0325e+05,-17.722,8.6989,-0.00098263,337.39,-100.87,-0.0015606,-2.227e-05,1.0931e-05,-1.2348e-09,0.00042398,-0.00012676,-1.9611e-09,0.475,-1.4633e-06,-1.5337e-06,100,1,6.5e-05,0,6.5e-05,0.005
8.8201e-50,8.8201e-50,-102.37,-184.45,5.2921e+05,-179.58,-170.14,-7.5844e+06,-1.765e-06,-3.1802e-06,0.0091245,-3.0962e-06,-2.9335e-06,-0.13077,4.9899e+05,-22.064,-2.655e-07,-0.00068316,266.38,-1.0562e-06,-0.0016293,-2.7727e-05,-3.3364e-13,-8.5848e-10,0.00033474,-1.3273e-12,-2.0474e-09,0.5,-17.593,-96.798,-1.1967e+05,-24.6,-23.839,-7.6262e+06,-3.0334e-07,-1.6689e-06,-0.0020633,-4.2414e-07,-4.1101e-07,-0.13149,5.0325e+05,-17.722,8.6989,-0.00098263,337.39,-100.87,-0.0015606,-2.227e-05,1.0931e-05,-1.2348e-09,0.00042398,-0.00012676,-1.9611e-09,0.475,-1.4633e-06,-1.5337e-06,100,1,7e-05,0,7e-05,0.005
8.8201e-50,8.8201e-50,-103.38,-165.73,3.9892e+05,-163.62,-160.2,-7.5915e+06,-1.7825e-06,-2.8574e-06,0.0068781,-2.821e-06,-2.762e-06,-0.13089,4.9964e+05,-20.104,-1.8469e-07,-0.00070849,286.04,-1.0888e-06,-0.0015937,-2.5263e-05,-2.3209e-13,-8.9032e-10,0.00035945,-1.3682e-12,-2.0027e-09,0.5,-91.966,-68.096,-1.1967e+05,-36.444,-91.096,-7.6262e+06,-1.5856e-06,-1.1741e-06,-0.0020633,-6.2835e-07,-1.5706e-06,-0.13149,5.0325e+05,-17.722,-8.6989,-0.00062749,337.39,100.87,-0.00098728,-2.227e-05,-1.0931e-05,-7.8853e-10,0.00042398,0.00012676,-1.2407e-09,0.475,-1.3911e-06,-1.4807e-06,100,1,7.5e-05,0,7.5e-05,0.005
8.8201e-50,8.8201e-50,-104.4,-147.01,2.6863e+05,-147.66,-150.25,-7.5986e+06,-1.8e-06,-2.5346e-06,0.0046316,-2.5459e-06,-2.5906e-06,-0.13101,5.0029e+05,-18.143,-1.038e-07,-0.00073382,305.7,-1.1222e-06,-0.0015581,-2.2799e-05,-1.3044e-13,-9.2215e-10,0.00038415,-1.4102e-12,-1.958e-09,0.5,-91.966,-68.096,-1.1967e+05,-36.444,-91.096,-7.6262e+06,-1.5856e-06,-1.1741e-06,-0.0020633,-6.2835e-07,-1.5706e-06,-0.13149,5.0325e+05,-17.722,-8.6989,-0.00062749,337.39,100.87,-0.00098728,-2.227e-05,-1.0931e-05,-7.8853e-10,0.00042398,0.00012676,-1.2407e-09,0.475,-1.3911e-06,-1.4807e-06,100,1,8e-05,0,8e-05,0.005
8.8201e-50,8.8201e-50,-105.42,-128.29,1.3834e+05,-131.7,-140.31,-7.6057e+06,-1.8175e-06,-2.2118e-06,0.0023852,-2.2707e-06,-2.4191e-06,-0.13113,5.0094e+05,-16.183,-2.2933e-08,-0.00075916,325.36,-1.1553e-06,-0.0015225,-2.0336e-05,-2.8818e-14,-9.5399e-10,0.00040885,-1.4518e-12,-1.9133e-09,0.5,-91.966,-68.096,-1.1967e+05,-36.444,-91.096,-7.6262e+06,-1.5856e-06,-1.1741e-06,-0.0020633,-6.2835e-07,-1.5706e-06,-0.13149,5.0325e+05,-17.722,-8.6989,-0.00062749,337.39,100.87,-0.00098728,-2.227e-05,-1.0931e-05,-7.8853e-10,0.00042398,0.00012676,-1.2407e-09,0.475,-1.3911e-06,-1.4807e-06,100,1,8.5e-05,0,8.5e-05,0.005
8.8201e-50,8.8201e-50,-106.43,-109.56,8043.7,-115.74,-130.36,-7.6128e+06,-1.835e-06,-1.889e-06,0.00013876,-1.9955e-06,-2.2476e-06,-0.13125,5.016e+05,-14.222,5.7926e-08,-0.00078449,345.02,-1.1884e-06,-0.001487,-1.7872e-05,7.2792e-14,-9.8582e-10,0.00043356,-1.4934e-12,-1.8686e-09,0.5,-91.966,-68.096,-1.1967e+05,-36.444,-91.096,-7.6262e+06,-1.5856e-06,-1.1741e-06,-0.0020633,-6.2835e-07,-1.5706e-06,-0.13149,5.0325e+05,-17.722,-8.6989,-0.00062749,337.39,100.87,-0.00098728,-2.227e-05,-1.0931e-05,-7.8853e-10,0.00042398,0.00012676,-1.2407e-09,0.475,-1.3911e-06,-1.4807e-06,100,1,9e-05,0,9e-05,0.005
8.8201e-50,8.8201e-50,-107.45,-90.841,-1.2225e+05,-99.777,-120.41,-7.6199e+06,-1.8525e-06,-1.5662e-06,-0.0021077,-1.7203e-06,-2.0761e-06,-0.13138,5.0225e+05,-12.261,1.3878e-07,-0.00080982,364.67,-1.2214e-06,-0.0014514,-1.5408e-05,1.744e-13,-1.0177e-09,0.00045826,-1.5349e-12,-1.8239e-09,0.5,-91.966,-68.096,-1.1967e+05,-36.444,-91.096,-7.6262e+06,-1.5856e-06,-1.1741e-06,-0.0020633,-6.2835e-07,-1.5706e-06,-0.13149,5.0325e+05,-17.722,-8.6989,-0.00062749,337.39,100.87,-0.00098728,-2.227e-05,-1.0931e-05,-7.8853e-10,0.00042398,0.00012676,-1.2407e-09,0.475,-1.3911e-06,-1.4807e-06,100,1,9.5e-05,0,9.5e-05,0.005
