"av im","av re","current density im:0","current density im:1","current density im:2","current density re:0","current density re:1","current density re:2","electric field im:0","electric field im:1","electric field im:2","electric field re:0","electric field re:1","electric field re:2","joule heating","magnetic field strength im:0","magnetic field strength im:1","magnetic field strength im:2","magnetic field strength re:0","magnetic field strength re:1","magnetic field strength re:2","magnetic flux density im:0","magnetic flux density im:1","magnetic flux density im:2","magnetic flux density re:0","magnetic flux density re:1","magnetic flux density re:2","surface current im:0","surface current im:1","surface current im:2","surface current re:0","surface current re:1","surface current re:2","current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,2.6837e-14,4.1781e-06,-7.6459e-06,5.888e-14,1.6678e-06,8.372e-06,-3.7471e-08,7.7131,-2.1041,-2.9442e-07,131.45,-3.0634,1.15e+05,-11542,9.8555e-09,-1.2429e-07,569.73,-8.6424e-10,-7.2156e-08,-0.014505,1.2383e-14,-1.5619e-13,0.00071595,-1.0861e-15,-9.0674e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.00405,0,0.00405,0.005
0,0,2.6086e-14,4.1414e-06,-7.5791e-06,5.8825e-14,1.6524e-06,8.2971e-06,-3.727e-08,7.715,-2.093,-2.9282e-07,131.45,-3.0473,1.1526e+05,-11536,1.0051e-08,-1.2315e-07,569.4,-8.706e-10,-7.1494e-08,-0.014496,1.2629e-14,-1.5475e-13,0.00071553,-1.0941e-15,-8.9843e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.004055,0,0.004055,0.005
0,0,2.5335e-14,4.1046e-06,-7.5122e-06,5.877e-14,1.637e-06,8.2223e-06,-3.7069e-08,7.7169,-2.0819,-2.9121e-07,131.44,-3.0311,1.1552e+05,-11529,1.0246e-08,-1.22e-07,569.07,-8.7696e-10,-7.0833e-08,-0.014488,1.2874e-14,-1.5331e-13,0.00071511,-1.1021e-15,-8.9011e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.00406,0,0.00406,0.005
0,0,2.4584e-14,4.0679e-06,-7.4453e-06,5.8715e-14,1.6216e-06,8.1474e-06,-3.6868e-08,7.7187,-2.0709,-2.8961e-07,131.44,-3.015,1.1578e+05,-11522,1.0441e-08,-1.2086e-07,568.73,-8.8332e-10,-7.0172e-08,-0.014479,1.3119e-14,-1.5187e-13,0.00071469,-1.1101e-15,-8.818e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.004065,0,0.004065,0.005
0,0,2.3833e-14,4.0312e-06,-7.3784e-06,5.866e-14,1.6061e-06,8.0725e-06,-3.6667e-08,7.7206,-2.0598,-2.88e-07,131.44,-2.9989,1.1604e+05,-11515,1.0636e-08,-1.1971e-07,568.4,-8.8968e-10,-6.951e-08,-0.014471,1.3365e-14,-1.5043e-13,0.00071427,-1.1181e-15,-8.7349e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.00407,0,0.00407,0.005
0,0,2.3082e-14,3.9945e-06,-7.3115e-06,5.8605e-14,1.5907e-06,7.9977e-06,-3.6466e-08,7.7225,-2.0487,-2.864e-07,131.44,-2.9828,1.163e+05,-11509,1.0832e-08,-1.1857e-07,568.07,-8.9605e-10,-6.8849e-08,-0.014462,1.361e-14,-1.4899e-13,0.00071385,-1.126e-15,-8.6518e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.004075,0,0.004075,0.005
0,0,2.2332e-14,3.9578e-06,-7.2447e-06,5.855e-14,1.5753e-06,7.9228e-06,-3.6265e-08,7.7244,-2.0376,-2.8479e-07,131.44,-2.9666,1.1656e+05,-11502,1.1027e-08,-1.1742e-07,567.73,-9.0241e-10,-6.8187e-08,-0.014454,1.3856e-14,-1.4756e-13,0.00071344,-1.134e-15,-8.5687e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.00408,0,0.00408,0.005
0,0,2.1581e-14,3.9211e-06,-7.1778e-06,5.8495e-14,1.5599e-06,7.8479e-06,-3.6064e-08,7.7262,-2.0266,-2.8319e-07,131.43,-2.9505,1.1682e+05,-11495,1.1222e-08,-1.1628e-07,567.4,-9.0877e-10,-6.7526e-08,-0.014445,1.4101e-14,-1.4612e-13,0.00071302,-1.142e-15,-8.4856e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.004085,0,0.004085,0.005
0,0,2.083e-14,3.8844e-06,-7.1109e-06,5.844e-14,1.5445e-06,7.7731e-06,-3.5863e-08,7.7281,-2.0155,-2.8158e-07,131.43,-2.9344,1.1708e+05,-11488,1.1417e-08,-1.1513e-07,567.07,-9.1513e-10,-6.6865e-08,-0.014437,1.4346e-14,-1.4468e-13,0.0007126,-1.15e-15,-8.4025e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.00409,0,0.00409,0.005
0,0,2.0079e-14,3.8477e-06,-7.044e-06,5.8385e-14,1.5291e-06,7.6982e-06,-3.5662e-08,7.73,-2.0044,-2.7998e-07,131.43,-2.9183,1.1734e+05,-11482,1.1613e-08,-1.1399e-07,566.73,-9.2149e-10,-6.6203e-08,-0.014428,1.4592e-14,-1.4324e-13,0.00071218,-1.158e-15,-8.3193e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.004095,0,0.004095,0.005
0,0,1.9328e-14,3.8109e-06,-6.9772e-06,5.8329e-14,1.5136e-06,7.6234e-06,-3.5461e-08,7.7319,-1.9933,-2.7837e-07,131.43,-2.9022,1.176e+05,-11475,1.1808e-08,-1.1284e-07,566.4,-9.2785e-10,-6.5542e-08,-0.01442,1.4837e-14,-1.418e-13,0.00071176,-1.166e-15,-8.2362e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.0041,0,0.0041,0.005
0,0,1.8577e-14,3.7742e-06,-6.9103e-06,5.8274e-14,1.4982e-06,7.5485e-06,-3.526e-08,7.7337,-1.9823,-2.7677e-07,131.42,-2.886,1.1786e+05,-11468,1.2003e-08,-1.1169e-07,566.07,-9.3421e-10,-6.488e-08,-0.014411,1.5082e-14,-1.4036e-13,0.00071134,-1.174e-15,-8.1531e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.004105,0,0.004105,0.005
0,0,1.7826e-14,3.7375e-06,-6.8434e-06,5.8219e-14,1.4828e-06,7.4736e-06,-3.5059e-08,7.7356,-1.9712,-2.7516e-07,131.42,-2.8699,1.1812e+05,-11461,1.2198e-08,-1.1055e-07,565.73,-9.4057e-10,-6.4219e-08,-0.014403,1.5328e-14,-1.3892e-13,0.00071092,-1.182e-15,-8.07e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.00411,0,0.00411,0.005
0,0,1.7075e-14,3.7008e-06,-6.7765e-06,5.8164e-14,1.4674e-06,7.3988e-06,-3.4858e-08,7.7375,-1.9601,-2.7356e-07,131.42,-2.8538,1.1838e+05,-11455,1.2394e-08,-1.094e-07,565.4,-9.4693e-10,-6.3558e-08,-0.014394,1.5573e-14,-1.3748e-13,0.0007105,-1.19e-15,-7.9869e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.004115,0,0.004115,0.005
0,0,1.6325e-14,3.6641e-06,-6.7097e-06,5.8109e-14,1.452e-06,7.3239e-06,-3.4657e-08,7.7394,-1.949,-2.7196e-07,131.42,-2.8377,1.1864e+05,-11448,1.2589e-08,-1.0826e-07,565.07,-9.5329e-10,-6.2896e-08,-0.014386,1.5819e-14,-1.3604e-13,0.00071008,-1.198e-15,-7.9038e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.00412,0,0.00412,0.005
0,0,1.5574e-14,3.6274e-06,-6.6428e-06,5.8054e-14,1.4365e-06,7.249e-06,-3.4456e-08,7.7412,-1.938,-2.7035e-07,131.42,-2.8215,1.189e+05,-11441,1.2784e-08,-1.0711e-07,564.73,-9.5965e-10,-6.2235e-08,-0.014377,1.6064e-14,-1.346e-13,0.00070967,-1.206e-15,-7.8207e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.004125,0,0.004125,0.005
0,0,1.4823e-14,3.5907e-06,-6.5759e-06,5.7999e-14,1.4211e-06,7.1742e-06,-3.4255e-08,7.7431,-1.9269,-2.6875e-07,131.41,-2.8054,1.1916e+05,-11434,1.2979e-08,-1.0597e-07,564.4,-9.6601e-10,-6.1573e-08,-0.014369,1.6309e-14,-1.3316e-13,0.00070925,-1.214e-15,-7.7375e-14,0,0,0,0,0,0,0,0,0,0,0,0,0.92367,9.379,-1.4167,13.416,136.22,1.0735,0,-10710,1054.9,7.4563e-05,528.67,-52.069,-6.0113e-05,-0.013459,0.0013256,9.3699e-11,0.00066434,-6.5432e-05,-7.554e-11,1,0.00413,0,0.00413,0.005
