1 1 200   4.00000000000E-002  2.50000000000E-002  0.00000000000E+000  1.75992900239E-004  0.00000000000E+000  3.20745024942E-006  8.71850731945E-003  0.00000000000E+000  0.00000000000E+000  1.09795485582E+002
1 1 166   3.32000000000E-002  2.50000000000E-002  0.00000000000E+000  1.46061489306E-004  0.00000000000E+000  5.03438022370E-008  8.80059139943E-003  0.00000000000E+000  0.00000000000E+000  7.56273918141E+001
1 1 58   1.16000000000E-002  2.50000000000E-002  0.00000000000E+000  5.10246270840E-005  0.00000000000E+000  7.62660426663E-008  8.79756290102E-003  0.00000000000E+000  0.00000000000E+000  9.23079278523E+000
1 1 59   1.18000000000E-002  2.50000000000E-002  0.00000000000E+000  5.19044205363E-005  0.00000000000E+000  6.80261889198E-008  8.79758012329E-003  0.00000000000E+000  0.00000000000E+000  9.57224914022E+000
1 1 60   1.20000000000E-002  2.50000000000E-002  0.00000000000E+000  5.27842139886E-005  0.00000000000E+000  5.97863351732E-008  8.79759734556E-003  0.00000000000E+000  0.00000000000E+000  9.91370549521E+000
1 1 61   1.22000000000E-002  2.50000000000E-002  0.00000000000E+000  5.36640074408E-005  0.00000000000E+000  5.15464814266E-008  8.79761456782E-003  0.00000000000E+000  0.00000000000E+000  1.02551618502E+001
1 1 62   1.24000000000E-002  2.50000000000E-002  0.00000000000E+000  5.45438008931E-005  0.00000000000E+000  4.33066276801E-008  8.79763179009E-003  0.00000000000E+000  0.00000000000E+000  1.05966182052E+001
1 1 63   1.26000000000E-002  2.50000000000E-002  0.00000000000E+000  5.54235943454E-005  0.00000000000E+000  3.50667739335E-008  8.79764901236E-003  0.00000000000E+000  0.00000000000E+000  1.09380745602E+001
1 1 64   1.28000000000E-002  2.50000000000E-002  0.00000000000E+000  5.63033877976E-005  0.00000000000E+000  2.68269201870E-008  8.79766623462E-003  0.00000000000E+000  0.00000000000E+000  1.12795309152E+001
1 1 164   3.28000000000E-002  2.50000000000E-002  0.00000000000E+000  1.44301045380E-004  0.00000000000E+000  4.15592228097E-008  8.80051066674E-003  0.00000000000E+000  0.00000000000E+000  7.38180773073E+001
