"current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","jxb im e:0","jxb im e:1","jxb im e:2","jxb re e:0","jxb re e:1","jxb re e:2","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","potential im","potential re","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,-0.059124,0,0,0.25158,0,0,0,0,0,0,0,516.96,3356.8,0,-135.26,-970.1,0,0.00064963,0.0042183,0,-0.00016998,-0.0012191,0,8.0081e-05,1.882e-05,8,1,0.0042,0.05,-0.0958,0
0,0,0,0,0,0,0,0,-0.059278,0,0,0.25116,0,0,0,0,0,0,0,514.72,3358.9,0,-126.75,-981.56,0,0.00064682,0.004221,0,-0.00015928,-0.0012335,0,7.9946e-05,1.8869e-05,8,1,0.0044,0.05,-0.0956,0
0,0,0,0,0,0,0,0,-0.059431,0,0,0.25073,0,0,0,0,0,0,0,512.49,3361.1,0,-118.24,-993.01,0,0.00064401,0.0042237,0,-0.00014858,-0.0012479,0,7.981e-05,1.8918e-05,8,1,0.0046,0.05,-0.0954,0
0,0,0,0,0,0,0,0,-0.059585,0,0,0.25031,0,0,0,0,0,0,0,510.26,3363.2,0,-109.72,-1004.5,0,0.00064121,0.0042263,0,-0.00013788,-0.0012623,0,7.9675e-05,1.8966e-05,8,1,0.0048,0.05,-0.0952,0
0,0,0,0,0,0,0,0,-0.059738,0,0,0.24988,0,0,0,0,0,0,0,508.02,3365.3,0,-101.21,-1015.9,0,0.0006384,0.004229,0,-0.00012718,-0.0012767,0,7.9539e-05,1.9015e-05,8,1,0.005,0.05,-0.095,0
0,0,0,0,0,0,0,0,-0.059797,0,0,0.24948,0,0,0,0,0,0,0,505.41,3366.3,0,-93.428,-1024.1,0,0.00063511,0.0042302,0,-0.0001174,-0.0012869,0,7.9414e-05,1.9034e-05,8,1,0.0052,0.05,-0.0948,0
0,0,0,0,0,0,0,0,-0.059856,0,0,0.24909,0,0,0,0,0,0,0,502.79,3367.3,0,-85.646,-1032.2,0,0.00063182,0.0042314,0,-0.00010763,-0.0012971,0,7.9288e-05,1.9053e-05,8,1,0.0054,0.05,-0.0946,0
0,0,0,0,0,0,0,0,-0.059915,0,0,0.24869,0,0,0,0,0,0,0,500.17,3368.2,0,-77.865,-1040.4,0,0.00062854,0.0042327,0,-9.7848e-05,-0.0013074,0,7.9162e-05,1.9072e-05,8,1,0.0056,0.05,-0.0944,0
0,0,0,0,0,0,0,0,-0.059974,0,0,0.2483,0,0,0,0,0,0,0,497.56,3369.2,0,-70.084,-1048.5,0,0.00062525,0.0042339,0,-8.807e-05,-0.0013176,0,7.9036e-05,1.909e-05,8,1,0.0058,0.05,-0.0942,0
0,0,0,0,0,0,0,0,-0.060033,0,0,0.2479,0,0,0,0,0,0,0,494.94,3370.2,0,-62.303,-1056.6,0,0.00062196,0.0042351,0,-7.8292e-05,-0.0013278,0,7.891e-05,1.9109e-05,8,1,0.006,0.05,-0.094,0
