"current density im e:0","current density im e:1","current density im e:2","current density re e:0","current density re e:1","current density re e:2","electric field im e:0","electric field im e:1","electric field im e:2","electric field re e:0","electric field re e:1","electric field re e:2","joule heating e","jxb im e:0","jxb im e:1","jxb im e:2","jxb re e:0","jxb re e:1","jxb re e:2","magnetic field strength im e:0","magnetic field strength im e:1","magnetic field strength im e:2","magnetic field strength re e:0","magnetic field strength re e:1","magnetic field strength re e:2","magnetic flux density im e:0","magnetic flux density im e:1","magnetic flux density im e:2","magnetic flux density re e:0","magnetic flux density re e:1","magnetic flux density re e:2","potential im","potential re","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,-1654.8,0,0,1946.1,0,0,-0.0016548,0,0,0.0019461,4.9621,-2.444,0.00095145,0,-0.020796,-0.030581,0,-6.6991,1164.2,0,8.4358,981.04,0,-8.4184e-06,0.001463,0,1.0601e-05,0.0012328,0,6.1948e-07,5.2673e-07,7,1,0.00085,0.00085,0,0
0,0,-1751,0,0,2061.5,0,0,-0.001751,0,0,0.0020615,5.5274,-2.5878,0.0010016,0,-0.021328,-0.03238,0,-6.8567,1164.5,0,8.6363,980.76,0,-8.6164e-06,0.0014633,0,1.0853e-05,0.0012325,0,6.5621e-07,5.5736e-07,7,1,0.0009,0.0009,0,0
0,0,-1847.2,0,0,2176.9,0,0,-0.0018472,0,0,0.0021769,6.0926,-2.7315,0.0010517,0,-0.02186,-0.034179,0,-7.0143,1164.7,0,8.8367,980.49,0,-8.8144e-06,0.0014636,0,1.1105e-05,0.0012321,0,6.9294e-07,5.8799e-07,7,1,0.00095,0.00095,0,0
0,0,-1943.5,0,0,2292.3,0,0,-0.0019435,0,0,0.0022923,6.6579,-2.8753,0.0011018,0,-0.022392,-0.035978,0,-7.1719,1164.9,0,9.0372,980.21,0,-9.0124e-06,0.0014639,0,1.1356e-05,0.0012318,0,7.2967e-07,6.1862e-07,7,1,0.001,0.001,0,0
0,0,-2039.7,0,0,2407.7,0,0,-0.0020397,0,0,0.0024077,7.2231,-3.019,0.0011519,0,-0.022924,-0.037777,0,-7.3294,1165.1,0,9.2377,979.94,0,-9.2104e-06,0.0014642,0,1.1608e-05,0.0012314,0,7.664e-07,6.4925e-07,7,1,0.00105,0.00105,0,0
0,0,-2135.9,0,0,2523.1,0,0,-0.0021359,0,0,0.0025231,7.7883,-3.1627,0.0012021,0,-0.023456,-0.039576,0,-7.487,1165.4,0,9.4382,979.67,0,-9.4085e-06,0.0014645,0,1.186e-05,0.0012311,0,8.0313e-07,6.7988e-07,7,1,0.0011,0.0011,0,0
0,0,-2232.1,0,0,2638.5,0,0,-0.0022321,0,0,0.0026385,8.3536,-3.3065,0.0012522,0,-0.023988,-0.041375,0,-7.6446,1165.6,0,9.6386,979.39,0,-9.6065e-06,0.0014647,0,1.2112e-05,0.0012307,0,8.3986e-07,7.1051e-07,7,1,0.00115,0.00115,0,0
0,0,-2328.3,0,0,2753.9,0,0,-0.0023283,0,0,0.0027539,8.9188,-3.4502,0.0013023,0,-0.02452,-0.043174,0,-7.8022,1165.8,0,9.8391,979.12,0,-9.8045e-06,0.001465,0,1.2364e-05,0.0012304,0,8.7659e-07,7.4113e-07,7,1,0.0012,0.0012,0,0
0,0,-2424.6,0,0,2869.3,0,0,-0.0024246,0,0,0.0028693,9.4841,-3.594,0.0013524,0,-0.025053,-0.044973,0,-7.9597,1166.1,0,10.04,978.84,0,-1.0003e-05,0.0014653,0,1.2616e-05,0.00123,0,9.1332e-07,7.7176e-07,7,1,0.00125,0.00125,0,0
0,0,-2520.8,0,0,2984.7,0,0,-0.0025208,0,0,0.0029847,10.049,-3.7377,0.0014025,0,-0.025585,-0.046772,0,-8.1173,1166.3,0,10.24,978.57,0,-1.0201e-05,0.0014656,0,1.2868e-05,0.0012297,0,9.5006e-07,8.0239e-07,7,1,0.0013,0.0013,0,0
