"joule heating","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","Points:0","Points:1","Points:2"
19129,7.345e-07,0.0051832,0,0.0035,0.025,0
19475,7.4283e-07,0.0051832,0,0.003535,0.025,0
19820,7.5115e-07,0.0051832,0,0.00357,0.025,0
20166,7.5948e-07,0.0051832,0,0.003605,0.025,0
20512,7.6781e-07,0.0051833,0,0.00364,0.025,0
20857,7.7613e-07,0.0051833,0,0.003675,0.025,0
21203,7.8446e-07,0.0051833,0,0.00371,0.025,0
21548,7.9278e-07,0.0051833,0,0.003745,0.025,0
21894,8.0111e-07,0.0051833,0,0.00378,0.025,0
22239,8.0944e-07,0.0051833,0,0.003815,0.025,0
22585,8.1776e-07,0.0051834,0,0.00385,0.025,0
22930,8.2609e-07,0.0051834,0,0.003885,0.025,0
23276,8.3442e-07,0.0051834,0,0.00392,0.025,0
23621,8.4274e-07,0.0051834,0,0.003955,0.025,0
23967,8.5107e-07,0.0051834,0,0.00399,0.025,0
24313,8.594e-07,0.0051834,0,0.004025,0.025,0
24658,8.6772e-07,0.0051835,0,0.00406,0.025,0
25004,8.7605e-07,0.0051835,0,0.004095,0.025,0
25349,8.8438e-07,0.0051835,0,0.00413,0.025,0
25695,8.927e-07,0.0051835,0,0.004165,0.025,0
26040,9.0103e-07,0.0051835,0,0.0042,0.025,0
26386,9.0936e-07,0.0051835,0,0.004235,0.025,0
26731,9.1768e-07,0.0051836,0,0.00427,0.025,0
27077,9.2601e-07,0.0051836,0,0.004305,0.025,0
27422,9.3434e-07,0.0051836,0,0.00434,0.025,0
27768,9.4266e-07,0.0051836,0,0.004375,0.025,0
28114,9.5099e-07,0.0051836,0,0.00441,0.025,0
28459,9.5932e-07,0.0051836,0,0.004445,0.025,0
28805,9.6764e-07,0.0051837,0,0.00448,0.025,0
29150,9.7597e-07,0.0051837,0,0.004515,0.025,0
29496,9.8429e-07,0.0051837,0,0.00455,0.025,0
29841,9.9262e-07,0.0051837,0,0.004585,0.025,0
30187,1.0009e-06,0.0051837,0,0.00462,0.025,0
30532,1.0093e-06,0.0051837,0,0.004655,0.025,0
30878,1.0176e-06,0.0051838,0,0.00469,0.025,0
31223,1.0259e-06,0.0051838,0,0.004725,0.025,0
31677,1.0167e-06,0.0051838,0,0.00476,0.025,0
32136,1.0066e-06,0.0051838,0,0.004795,0.025,0
32595,9.9649e-07,0.0051839,0,0.00483,0.025,0
33054,9.8637e-07,0.0051839,0,0.004865,0.025,0
33513,9.7625e-07,0.0051839,0,0.0049,0.025,0
33972,9.6613e-07,0.005184,0,0.004935,0.025,0
34431,9.5601e-07,0.005184,0,0.00497,0.025,0
34891,9.459e-07,0.0051841,0,0.005005,0.025,0
35380,9.3597e-07,0.0051841,0,0.00504,0.025,0
35993,9.2682e-07,0.0051842,0,0.005075,0.025,0
36605,9.1767e-07,0.0051843,0,0.00511,0.025,0
37217,9.0852e-07,0.0051844,0,0.005145,0.025,0
37830,8.9937e-07,0.0051845,0,0.00518,0.025,0
38442,8.9023e-07,0.0051846,0,0.005215,0.025,0
39055,8.8108e-07,0.0051847,0,0.00525,0.025,0
39667,8.7193e-07,0.0051848,0,0.005285,0.025,0
40279,8.6278e-07,0.0051849,0,0.00532,0.025,0
40892,8.5363e-07,0.005185,0,0.005355,0.025,0
41504,8.4448e-07,0.0051851,0,0.00539,0.025,0
42116,8.3533e-07,0.0051853,0,0.005425,0.025,0
42729,8.2618e-07,0.0051854,0,0.00546,0.025,0
43341,8.1703e-07,0.0051855,0,0.005495,0.025,0
43954,8.0788e-07,0.0051856,0,0.00553,0.025,0
44566,7.9873e-07,0.0051857,0,0.005565,0.025,0
45178,7.8958e-07,0.0051858,0,0.0056,0.025,0
45791,7.8043e-07,0.0051859,0,0.005635,0.025,0
46403,7.7128e-07,0.005186,0,0.00567,0.025,0
47015,7.6213e-07,0.0051861,0,0.005705,0.025,0
47628,7.5298e-07,0.0051862,0,0.00574,0.025,0
48240,7.4383e-07,0.0051863,0,0.005775,0.025,0
48853,7.3468e-07,0.0051864,0,0.00581,0.025,0
49465,7.2553e-07,0.0051865,0,0.005845,0.025,0
50077,7.1639e-07,0.0051866,0,0.00588,0.025,0
50690,7.0724e-07,0.0051867,0,0.005915,0.025,0
51302,6.9809e-07,0.0051868,0,0.00595,0.025,0
51915,6.8894e-07,0.0051869,0,0.005985,0.025,0
52527,6.7979e-07,0.005187,0,0.00602,0.025,0
53139,6.7064e-07,0.0051871,0,0.006055,0.025,0
53752,6.6149e-07,0.0051872,0,0.00609,0.025,0
54364,6.5234e-07,0.0051873,0,0.006125,0.025,0
54976,6.4319e-07,0.0051874,0,0.00616,0.025,0
55589,6.3404e-07,0.0051876,0,0.006195,0.025,0
56201,6.2489e-07,0.0051877,0,0.00623,0.025,0
56814,6.1574e-07,0.0051878,0,0.006265,0.025,0
57426,6.0659e-07,0.0051879,0,0.0063,0.025,0
58038,5.9744e-07,0.005188,0,0.006335,0.025,0
58651,5.8829e-07,0.0051881,0,0.00637,0.025,0
59263,5.7914e-07,0.0051882,0,0.006405,0.025,0
59875,5.6999e-07,0.0051883,0,0.00644,0.025,0
60488,5.6084e-07,0.0051884,0,0.006475,0.025,0
61100,5.5169e-07,0.0051885,0,0.00651,0.025,0
61713,5.4254e-07,0.0051886,0,0.006545,0.025,0
62325,5.334e-07,0.0051887,0,0.00658,0.025,0
62937,5.2425e-07,0.0051888,0,0.006615,0.025,0
63550,5.151e-07,0.0051889,0,0.00665,0.025,0
64162,5.0595e-07,0.005189,0,0.006685,0.025,0
64775,4.968e-07,0.0051891,0,0.00672,0.025,0
65387,4.8765e-07,0.0051892,0,0.006755,0.025,0
65999,4.785e-07,0.0051893,0,0.00679,0.025,0
66612,4.6935e-07,0.0051894,0,0.006825,0.025,0
67224,4.602e-07,0.0051895,0,0.00686,0.025,0
67836,4.5105e-07,0.0051896,0,0.006895,0.025,0
68449,4.419e-07,0.0051897,0,0.00693,0.025,0
69061,4.3275e-07,0.0051899,0,0.006965,0.025,0
69674,4.236e-07,0.00519,0,0.007,0.025,0
70286,4.1445e-07,0.0051901,0,0.007035,0.025,0
70898,4.053e-07,0.0051902,0,0.00707,0.025,0
71511,3.9615e-07,0.0051903,0,0.007105,0.025,0
72123,3.87e-07,0.0051904,0,0.00714,0.025,0
72735,3.7785e-07,0.0051905,0,0.007175,0.025,0
73348,3.687e-07,0.0051906,0,0.00721,0.025,0
73960,3.5955e-07,0.0051907,0,0.007245,0.025,0
74573,3.5041e-07,0.0051908,0,0.00728,0.025,0
75185,3.4126e-07,0.0051909,0,0.007315,0.025,0
75797,3.3211e-07,0.005191,0,0.00735,0.025,0
76410,3.2296e-07,0.0051911,0,0.007385,0.025,0
77022,3.1381e-07,0.0051912,0,0.00742,0.025,0
77635,3.0466e-07,0.0051913,0,0.007455,0.025,0
78247,2.9551e-07,0.0051914,0,0.00749,0.025,0
78859,2.8636e-07,0.0051915,0,0.007525,0.025,0
79504,2.8493e-07,0.0051917,0,0.00756,0.025,0
80162,2.8646e-07,0.0051918,0,0.007595,0.025,0
80967,2.7832e-07,0.005192,0,0.00763,0.025,0
81794,2.6875e-07,0.0051923,0,0.007665,0.025,0
82630,2.6494e-07,0.0051926,0,0.0077,0.025,0
83476,2.681e-07,0.0051929,0,0.007735,0.025,0
84323,2.7126e-07,0.0051931,0,0.00777,0.025,0
85169,2.7442e-07,0.0051934,0,0.007805,0.025,0
86015,2.7758e-07,0.0051937,0,0.00784,0.025,0
86862,2.8074e-07,0.005194,0,0.007875,0.025,0
87708,2.839e-07,0.0051943,0,0.00791,0.025,0
88554,2.8706e-07,0.0051946,0,0.007945,0.025,0
89401,2.9022e-07,0.0051948,0,0.00798,0.025,0
90247,2.9338e-07,0.0051951,0,0.008015,0.025,0
91093,2.9654e-07,0.0051954,0,0.00805,0.025,0
91940,2.997e-07,0.0051957,0,0.008085,0.025,0
92786,3.0286e-07,0.005196,0,0.00812,0.025,0
93632,3.0602e-07,0.0051963,0,0.008155,0.025,0
94478,3.0918e-07,0.0051966,0,0.00819,0.025,0
95325,3.1234e-07,0.0051968,0,0.008225,0.025,0
96171,3.155e-07,0.0051971,0,0.00826,0.025,0
97017,3.1866e-07,0.0051974,0,0.008295,0.025,0
97864,3.2182e-07,0.0051977,0,0.00833,0.025,0
98710,3.2498e-07,0.005198,0,0.008365,0.025,0
99556,3.2814e-07,0.0051983,0,0.0084,0.025,0
1.004e+05,3.313e-07,0.0051985,0,0.008435,0.025,0
1.0125e+05,3.3447e-07,0.0051988,0,0.00847,0.025,0
1.021e+05,3.3763e-07,0.0051991,0,0.008505,0.025,0
1.0294e+05,3.4079e-07,0.0051994,0,0.00854,0.025,0
1.0379e+05,3.4395e-07,0.0051997,0,0.008575,0.025,0
1.0463e+05,3.4711e-07,0.0052,0,0.00861,0.025,0
1.0548e+05,3.5027e-07,0.0052002,0,0.008645,0.025,0
1.0633e+05,3.5343e-07,0.0052005,0,0.00868,0.025,0
1.0717e+05,3.5659e-07,0.0052008,0,0.008715,0.025,0
1.0802e+05,3.5975e-07,0.0052011,0,0.00875,0.025,0
1.0887e+05,3.6291e-07,0.0052014,0,0.008785,0.025,0
1.0971e+05,3.6607e-07,0.0052017,0,0.00882,0.025,0
1.1056e+05,3.6923e-07,0.005202,0,0.008855,0.025,0
1.114e+05,3.7239e-07,0.0052022,0,0.00889,0.025,0
1.1225e+05,3.7555e-07,0.0052025,0,0.008925,0.025,0
1.131e+05,3.7871e-07,0.0052028,0,0.00896,0.025,0
1.1394e+05,3.8187e-07,0.0052031,0,0.008995,0.025,0
1.1479e+05,3.8503e-07,0.0052034,0,0.00903,0.025,0
1.1564e+05,3.8819e-07,0.0052037,0,0.009065,0.025,0
1.1648e+05,3.9135e-07,0.0052039,0,0.0091,0.025,0
1.1733e+05,3.9451e-07,0.0052042,0,0.009135,0.025,0
1.1818e+05,3.9767e-07,0.0052045,0,0.00917,0.025,0
1.1902e+05,4.0083e-07,0.0052048,0,0.009205,0.025,0
1.1987e+05,4.0399e-07,0.0052051,0,0.00924,0.025,0
1.2071e+05,4.0716e-07,0.0052054,0,0.009275,0.025,0
1.2156e+05,4.1032e-07,0.0052056,0,0.00931,0.025,0
1.2241e+05,4.1348e-07,0.0052059,0,0.009345,0.025,0
1.2325e+05,4.1664e-07,0.0052062,0,0.00938,0.025,0
1.241e+05,4.198e-07,0.0052065,0,0.009415,0.025,0
1.2495e+05,4.2296e-07,0.0052068,0,0.00945,0.025,0
1.2579e+05,4.2612e-07,0.0052071,0,0.009485,0.025,0
1.2664e+05,4.2928e-07,0.0052074,0,0.00952,0.025,0
1.2748e+05,4.3244e-07,0.0052076,0,0.009555,0.025,0
1.2833e+05,4.356e-07,0.0052079,0,0.00959,0.025,0
1.2918e+05,4.3876e-07,0.0052082,0,0.009625,0.025,0
1.3002e+05,4.4192e-07,0.0052085,0,0.00966,0.025,0
1.3087e+05,4.4489e-07,0.0052088,0,0.009695,0.025,0
1.3186e+05,4.3763e-07,0.0052092,0,0.00973,0.025,0
1.3284e+05,4.3037e-07,0.0052097,0,0.009765,0.025,0
1.3383e+05,4.2312e-07,0.0052101,0,0.0098,0.025,0
1.3481e+05,4.1586e-07,0.0052105,0,0.009835,0.025,0
1.358e+05,4.086e-07,0.005211,0,0.00987,0.025,0
1.3679e+05,4.0135e-07,0.0052114,0,0.009905,0.025,0
1.3777e+05,3.9409e-07,0.0052119,0,0.00994,0.025,0
1.3876e+05,3.8683e-07,0.0052123,0,0.009975,0.025,0
1.3974e+05,3.7958e-07,0.0052127,0,0.01001,0.025,0
1.4073e+05,3.7232e-07,0.0052132,0,0.010045,0.025,0
1.4171e+05,3.6506e-07,0.0052136,0,0.01008,0.025,0
1.427e+05,3.5781e-07,0.0052141,0,0.010115,0.025,0
1.4368e+05,3.5055e-07,0.0052145,0,0.01015,0.025,0
1.4467e+05,3.4329e-07,0.0052149,0,0.010185,0.025,0
1.4565e+05,3.3604e-07,0.0052154,0,0.01022,0.025,0
1.4666e+05,3.3358e-07,0.0052158,0,0.010255,0.025,0
1.4773e+05,3.4754e-07,0.0052164,0,0.01029,0.025,0
1.4881e+05,3.6149e-07,0.005217,0,0.010325,0.025,0
1.4988e+05,3.7545e-07,0.0052175,0,0.01036,0.025,0
1.5096e+05,3.894e-07,0.0052181,0,0.010395,0.025,0
1.5203e+05,4.0335e-07,0.0052187,0,0.01043,0.025,0
1.5311e+05,4.1731e-07,0.0052192,0,0.010465,0.025,0
1.5418e+05,4.3126e-07,0.0052198,0,0.0105,0.025,0
